Results_Name,VSPAERO_History,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Results_Timestamp,1639020784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Results_Date,12,8,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Results_Time,21,33,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpha,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AnalysisMethod,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beta,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDi,-0.00001,-0.00001,-0.00001,-0.00001,-0.00001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDo,0.04517,0.04516,0.04516,0.04516,0.04516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDtot,0.04516,0.04516,0.04516,0.04516,0.04516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDtrefftz,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CFx,-0.00001,-0.00001,-0.00001,-0.00001,-0.00001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CFy,-0.00002,0.00001,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CFz,-0.00066,-0.00056,-0.00053,-0.00053,-0.00053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CL,-0.00066,-0.00056,-0.00053,-0.00053,-0.00053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMx,-0.00004,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMy,-0.01398,-0.01468,-0.01471,-0.01472,-0.01472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMz,-0.0001,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS,-0.00002,0.00001,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,-0.00432,-0.00287,-0.00247,-0.00247,-0.00247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FC_AoA_,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FC_Beta_,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FC_Bref_,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FC_Cref_,1.481959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FC_Mach_,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FC_Pitch_Rate,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FC_ReCref_,50000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FC_Rho_,0.002377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FC_Roll__Rate,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FC_Sref_,11.114691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FC_Vinf_,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FC_Xcg_,3.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FC_Yaw___Rate,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FC_Ycg_,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FC_Zcg_,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L/D,-0.0147,-0.01247,-0.01168,-0.01168,-0.01169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mach,0.001,0.001,0.001,0.001,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T/QS,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WakeIter,1,2,3,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Results_Name,VSPAERO_History,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Results_Timestamp,1639020784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Results_Date,12,8,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Results_Time,21,33,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpha,0.51282,0.51282,0.51282,0.51282,0.51282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AnalysisMethod,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beta,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDi,0.00007,0.00008,0.00009,0.00009,0.00009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDo,0.04519,0.04518,0.04518,0.04518,0.04518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDtot,0.04525,0.04526,0.04527,0.04527,0.04527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDtrefftz,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CFx,-0.00024,-0.00027,-0.00028,-0.00028,-0.00028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CFy,0.00028,0.00008,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CFz,0.03407,0.03928,0.04125,0.04136,0.04139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CL,0.03407,0.03928,0.04125,0.04136,0.04139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMx,0.00099,0.00037,0.00003,0.00001,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMy,-0.00656,-0.02241,-0.02362,-0.02369,-0.02371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMz,-0.0011,0.00005,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS,0.00028,0.00008,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,1.10502,1.22836,1.24423,1.2423,1.24235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FC_AoA_,0.512821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FC_Beta_,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FC_Bref_,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FC_Cref_,1.481959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FC_Mach_,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FC_Pitch_Rate,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FC_ReCref_,50000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FC_Rho_,0.002377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FC_Roll__Rate,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FC_Sref_,11.114691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FC_Vinf_,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FC_Xcg_,3.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
